NearRank,RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,To_ID,From_ID,Total_Kilometers,Total_Minutes,From_Agency,From_Fire_Name,From_Latitude,From_Longitude,From_Hectares__Ha_,From_Stage_of_Control,From_Time_Zone,From_GlobalID,From_Start_Date,To_CUSTODIAN_ORG_DESCRIPTION,To_BUSINESS_CATEGORY_CLASS,To_BUSINESS_CATEGORY_DESCRIPTIO,To_OCCUPANT_TYPE_DESCRIPTION,To_SOURCE_DATA_ID,To_SUPPLIED_SOURCE_ID_IND,To_FACILITY_NAME,To_DESCRIPTION,To_PHYSICAL_ADDRESS,To_MAILING_ADDRESS,To_STREET_ADDRESS,To_POSTAL_CODE,To_LOCALITY,To_CONTACT_PHONE,To_CONTACT_EMAIL,To_CONTACT_FAX,To_WEBSITE_URL,To_IMAGE_URL,To_LATITUDE,To_LONGITUDE,To_KEYWORDS,To_DATE_UPDATED,To_SITE_GEOCODED_IND,To_RESPONDER_FACILITY_TYPE,To_RESPONDER_GROUP_TYPE,To_SE_ANNO_CAD_DATA,RouteLayerItemID,RouteLayerItemURL
1,Location 75 - Location 23,,,,,2585,157,121.99398819,153.49576415,bc,2023-G80867,56.7086,-120.041,70.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-06-24 18:00:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2038,N,Fort St John Fire Dept,,"9312 93 Ave, Fort St John, BC","9312 93 Ave, Fort St John, BC",9312 93 Ave,,Fort St John,,,,,,56.2393868,-120.8351409,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 76 - Location 550,,,,,2841,159,39.99863007,36.89874278,bc,2023-VA2884,52.2916,-126.064,900.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-08-21 17:45:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1890,N,Noosatsum Fire Dept,,"2644 Gibbs Rd, Hagensborg, BC","2644 Gibbs Rd, Hagensborg, BC",2644 Gibbs Rd,,Hagensborg,,,,,,52.3988459,-126.484069,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 78 - Location 440,,,,,1267,163,87.61225365,85.31380628,bc,2023-R21673,53.8076,-126.691,4360.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-13 21:42:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1950,N,Southside Fire Dept,,"1122 Whitney Way, Southbank, BC","1122 Whitney Way, Southbank, BC",1122 Whitney Way,,Southbank,,,,,,54.0227273,-125.7698911,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 79 - Location 212,,,,,2379,164,20.73968594,35.71994136,bc,2023-R21217,54.8934,-125.899,7984.0,OC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-08 01:23:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1997,N,Granisle Fire Dept,,"37 Babine Dr, Granisle, BC","37 Babine Dr, Granisle, BC",37 Babine Dr,,Granisle,,,,,,54.885739,-126.2043768,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 80 - Location 212,,,,,2379,165,0.75653271,2.88574795,bc,2023-R23388,54.8859,-126.216,0.01,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-10-02 19:25:00.000001,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1997,N,Granisle Fire Dept,,"37 Babine Dr, Granisle, BC","37 Babine Dr, Granisle, BC",37 Babine Dr,,Granisle,,,,,,54.885739,-126.2043768,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 81 - Location 196,,,,,2961,166,44.16189097,66.50303676,bc,2023-R51929,54.8294,-128.936,2.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-20 20:04:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1989,N,Terrace Fire Dept,,"3215 Eby St, Terrace, BC","3215 Eby St, Terrace, BC",3215 Eby St,,Terrace,,,,,,54.5174204,-128.5995711,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 82 - Location 550,,,,,2841,167,68.36589288,62.02744802,bc,2023-VA1735,52.5121,-125.906,3360.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-15 23:43:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1890,N,Noosatsum Fire Dept,,"2644 Gibbs Rd, Hagensborg, BC","2644 Gibbs Rd, Hagensborg, BC",2644 Gibbs Rd,,Hagensborg,,,,,,52.3988459,-126.484069,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 84 - Location 550,,,,,2841,169,34.24542585,31.89572153,bc,2023-VA2756,52.3607,-126.136,0.01,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-08-15 01:29:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1890,N,Noosatsum Fire Dept,,"2644 Gibbs Rd, Hagensborg, BC","2644 Gibbs Rd, Hagensborg, BC",2644 Gibbs Rd,,Hagensborg,,,,,,52.3988459,-126.484069,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 87 - Location 113,,,,,1945,172,16.27460095,18.40533457,bc,2023-R31512,55.0104,-127.448,556.13,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-11 00:33:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1998,N,Moricetown Fire Dept,,"202 Beaver Rd, Witset, BC","202 Beaver Rd, Witset, BC",202 Beaver Rd,,Witset,,,,,,55.0205217,-127.3317792,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 91 - Location 492,,,,,1693,176,89.25216806,110.99125541,bc,2023-G51474,54.7353,-125.175,1503.4,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-10 05:20:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1982,N,Fort St James Vol Fire Dept,,"374 Manson St, Fort St James, BC","374 Manson St, Fort St James, BC",374 Manson St,,Fort St James,,,,,,54.445157,-124.2563978,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 92 - Location 515,,,,,3009,177,152.48261497,219.28614888,bc,2023-G41493,53.2252,-124.906,4878.8,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-10 20:45:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1938,N,Saik'uz Fire Dept,,"530 Kenney Dam Rd, Stony Creek Saik'uz IR, BC","530 Kenney Dam Rd, Stony Creek Saik'uz IR, BC",530 Kenney Dam Rd,,Stony Creek Saik'uz IR,,,,,,53.9429514,-124.1090557,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 94 - Location 515,,,,,3009,179,116.89010905,165.35608931,bc,2023-G41502,53.5682,-125.245,34853.6,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-10 22:21:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1938,N,Saik'uz Fire Dept,,"530 Kenney Dam Rd, Stony Creek Saik'uz IR, BC","530 Kenney Dam Rd, Stony Creek Saik'uz IR, BC",530 Kenney Dam Rd,,Stony Creek Saik'uz IR,,,,,,53.9429514,-124.1090557,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 95 - Location 515,,,,,3009,180,33.83973694,28.0140727,bc,2023-G41511,53.7755,-124.426,4767.8,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-10 23:56:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1938,N,Saik'uz Fire Dept,,"530 Kenney Dam Rd, Stony Creek Saik'uz IR, BC","530 Kenney Dam Rd, Stony Creek Saik'uz IR, BC",530 Kenney Dam Rd,,Stony Creek Saik'uz IR,,,,,,53.9429514,-124.1090557,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 96 - Location 431,,,,,1539,182,21.31655911,19.26766064,bc,2023-R21250,54.4101,-126.415,2061.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-08 04:46:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1977,N,Houston Fire Dept,,"3382 11th St, Houston, BC","3382 11th St, Houston, BC",3382 11th St,,Houston,,,,,,54.3986072,-126.6476109,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 97 - Location 440,,,,,1267,183,41.22730417,46.53414427,bc,2023-R11238,54.0775,-126.178,359.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-08 03:26:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1950,N,Southside Fire Dept,,"1122 Whitney Way, Southbank, BC","1122 Whitney Way, Southbank, BC",1122 Whitney Way,,Southbank,,,,,,54.0227273,-125.7698911,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
