From_ID,To_ID,NearRank,From_Agency,From_Fire_Name,From_Latitude,From_Longitude,From_Hectares__Ha_,From_Stage_of_Control,From_Time_Zone,From_GlobalID,From_Start_Date,To_CUSTODIAN_ORG_DESCRIPTION,To_BUSINESS_CATEGORY_CLASS,To_BUSINESS_CATEGORY_DESCRIPTIO,To_OCCUPANT_TYPE_DESCRIPTION,To_SOURCE_DATA_ID,To_SUPPLIED_SOURCE_ID_IND,To_FACILITY_NAME,To_DESCRIPTION,To_PHYSICAL_ADDRESS,To_MAILING_ADDRESS,To_STREET_ADDRESS,To_POSTAL_CODE,To_LOCALITY,To_CONTACT_PHONE,To_CONTACT_EMAIL,To_CONTACT_FAX,To_WEBSITE_URL,To_IMAGE_URL,To_LATITUDE,To_LONGITUDE,To_KEYWORDS,To_DATE_UPDATED,To_SITE_GEOCODED_IND,To_RESPONDER_FACILITY_TYPE,To_RESPONDER_GROUP_TYPE,To_SE_ANNO_CAD_DATA,Total_Kilometers
36,1863,1,bc,2023-G91739,59.4203,-123.656,33425.6,OC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-16 1:17,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,87.61431248
37,2393,1,bc,2023-G92594,59.9374,-127.762,316.5,OC,PDT,{00000000-0000-0000-0000-000000000000},2023-08-07 18:51,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2044,N,Dease Lake Fire Dept,,"63 Stikine Ave, Dease Lake, BC","63 Stikine Ave, Dease Lake, BC",63 Stikine Ave,,Dease Lake,,,,,,58.435846,-129.9903625,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,210.2271927
38,1863,1,bc,2023-G91494,59.8051,-121.785,6996.4,OC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-10 20:49,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,123.4738697
39,1539,1,bc,2023-R21225,54.0392,-126.826,86,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-08 2:03,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1977,N,Houston Fire Dept,,"3382 11th St, Houston, BC","3382 11th St, Houston, BC",3382 11th St,,Houston,,,,,,54.3986072,-126.6476109,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,41.66352434
40,1961,1,bc,2023-V53075,50.5322,-124.34,262,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-08-30 21:52,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1615,N,Northside Vol Fire Dept Hall 2,,"9574 Roots Way, Lund, BC","9574 Roots Way, Lund, BC",9574 Roots Way,,Lund,,,,,,49.9767713,-124.7483694,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,68.3023709
42,1863,1,bc,2023-G93241,58.4398,-122.064,0.5,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-09-13 18:51,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,55.1260557
43,1863,1,bc,2023-G90790,57.8996,-123.61,10,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-06-15 3:22,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,113.5581123
46,1863,1,bc,2023-G80280,57.6187,-122.012,619072,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-05-13 0:58,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,138.0828865
48,1863,1,bc,2023-G91933,59.463,-120,2272,OC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-20 20:51,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,171.6686726
52,1927,1,bc,2023-R11546,54.1573,-126.103,138,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-11 19:11,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1970,N,Burns Lake Fire Dept,,"7 3rd Ave, Burns Lake, BC","7 3rd Ave, Burns Lake, BC",7 3rd Ave,,Burns Lake,,,,,,54.230184,-125.7644607,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,23.53804661
59,2651,1,bc,2023-V80527,50.3709,-126.044,230,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-05-29 21:34,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1707,N,Sayward Vol Fire Dept Hall 1,,"620 Kelsey Way, Sayward, BC","620 Kelsey Way, Sayward, BC",620 Kelsey Way,,Sayward,,,,,,50.3786464,-125.9593773,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,6.08009389
60,3009,1,bc,2023-G11293,53.4815,-123.847,2420,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-08 20:50,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1938,N,Saik'uz Fire Dept,,"530 Kenney Dam Rd, Stony Creek Saik'uz IR, BC","530 Kenney Dam Rd, Stony Creek Saik'uz IR, BC",530 Kenney Dam Rd,,Stony Creek Saik'uz IR,,,,,,53.9429514,-124.1090557,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,54.19653299
61,1931,1,bc,2023-V81938,49.6086,-126.112,121.87,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-20 21:46,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1568,N,Gold River Vol Fire Dept,,"499 Muchalat Dr, Gold River, BC","499 Muchalat Dr, Gold River, BC",499 Muchalat Dr,,Gold River,,,,,,49.7806033,-126.0475636,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,19.68783327
62,3111,1,bc,2023-G73140,56.0086,-120.188,10.85,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-09-03 0:05,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2027,N,Dawson Creek Fire Dept,,"10101 12A St, Dawson Creek, BC","10101 12A St, Dawson Creek, BC",10101 12A St,,Dawson Creek,,,,,,55.7607291,-120.2356915,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,27.75820798
64,2991,1,bc,2023-C51974,52.0612,-123.491,1306,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-21 3:39,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1874,N,Williams Lake Fire Dept,,"230 Hodgson Rd, Williams Lake, BC","230 Hodgson Rd, Williams Lake, BC",230 Hodgson Rd,,Williams Lake,,,,,,52.1167778,-122.1322222,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,93.33565458
65,1961,1,bc,2023-V53071,50.4919,-124.329,2,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-08-30 18:41,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1615,N,Northside Vol Fire Dept Hall 2,,"9574 Roots Way, Lund, BC","9574 Roots Way, Lund, BC",9574 Roots Way,,Lund,,,,,,49.9767713,-124.7483694,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,64.64094104
72,2901,1,bc,2023-R51709,53.159,-127.728,110,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-15 2:34,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1884,N,Ocean Falls Vol Fire Dept,,"1 Fifth St, Ocean Falls, BC","1 Fifth St, Ocean Falls, BC",1 Fifth St,,Ocean Falls,,,,,,52.3542126,-127.6918377,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,89.59075407
75,2991,1,bc,2023-C51981,52.2005,-123.48,1400,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-21 4:37,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1874,N,Williams Lake Fire Dept,,"230 Hodgson Rd, Williams Lake, BC","230 Hodgson Rd, Williams Lake, BC",230 Hodgson Rd,,Williams Lake,,,,,,52.1167778,-122.1322222,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,92.70187107
78,1637,1,bc,2023-C33245,52.596,-121.312,5,UC,PDT,{00000000-0000-0000-0000-000000000000},38:00.0,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1891,N,Horsefly Vol Fire Dept,,"3055 Boswell St, Horsefly, BC","3055 Boswell St, Horsefly, BC",3055 Boswell St,,Horsefly,,,,,,52.334778,-121.4161406,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,29.91667007
79,1539,1,bc,2023-R23312,53.9193,-126.747,0.35,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-09-18 18:04,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1977,N,Houston Fire Dept,,"3382 11th St, Houston, BC","3382 11th St, Houston, BC",3382 11th St,,Houston,,,,,,54.3986072,-126.6476109,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,53.74475813
81,2901,1,bc,2023-R51402,53.2281,-127.851,100,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-09 22:01,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1884,N,Ocean Falls Vol Fire Dept,,"1 Fifth St, Ocean Falls, BC","1 Fifth St, Ocean Falls, BC",1 Fifth St,,Ocean Falls,,,,,,52.3542126,-127.6918377,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,97.83840834
82,2901,1,bc,2023-R51713,53.069,-127.52,66,BH,PDT,{00000000-0000-0000-0000-000000000000},08:00.0,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1884,N,Ocean Falls Vol Fire Dept,,"1 Fifth St, Ocean Falls, BC","1 Fifth St, Ocean Falls, BC",1 Fifth St,,Ocean Falls,,,,,,52.3542126,-127.6918377,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,80.38499366
85,1823,1,bc,2023-C42542,51.9398,-120.463,0.01,OC,PDT,{00000000-0000-0000-0000-000000000000},2023-08-06 22:42,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1866,N,Hawkins Lake Vol Fire Dept,,"3554 Sellars Rd, Eagle Creek, BC","3554 Sellars Rd, Eagle Creek, BC",3554 Sellars Rd,,Eagle Creek,,,,,,51.8532854,-120.8999144,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,31.57924136
89,2379,1,bc,2023-G52955,55.0494,-125.633,1590.6,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-08-26 17:44,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1997,N,Granisle Fire Dept,,"37 Babine Dr, Granisle, BC","37 Babine Dr, Granisle, BC",37 Babine Dr,,Granisle,,,,,,54.885739,-126.2043768,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,40.87941562
90,1637,1,bc,2023-C30399,52.6166,-121.071,964,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-05-19 21:10,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1891,N,Horsefly Vol Fire Dept,,"3055 Boswell St, Horsefly, BC","3055 Boswell St, Horsefly, BC",3055 Boswell St,,Horsefly,,,,,,52.334778,-121.4161406,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,39.15906671
91,1637,1,bc,2023-C31684,52.5704,-120.494,27.3,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-14 17:25,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1891,N,Horsefly Vol Fire Dept,,"3055 Boswell St, Horsefly, BC","3055 Boswell St, Horsefly, BC",3055 Boswell St,,Horsefly,,,,,,52.334778,-121.4161406,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,67.95223036
92,1637,1,bc,2023-C31143,52.6903,-121.364,308,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-05 23:24,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1891,N,Horsefly Vol Fire Dept,,"3055 Boswell St, Horsefly, BC","3055 Boswell St, Horsefly, BC",3055 Boswell St,,Horsefly,,,,,,52.334778,-121.4161406,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,39.71893149
93,1637,1,bc,2023-C32539,52.5738,-120.845,6,UC,PDT,{00000000-0000-0000-0000-000000000000},25:00.0,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1891,N,Horsefly Vol Fire Dept,,"3055 Boswell St, Horsefly, BC","3055 Boswell St, Horsefly, BC",3055 Boswell St,,Horsefly,,,,,,52.334778,-121.4161406,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,47.06323061
100,2379,1,bc,2023-G50872,55.3014,-124.841,17333.8,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-06-24 21:06,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1997,N,Granisle Fire Dept,,"37 Babine Dr, Granisle, BC","37 Babine Dr, Granisle, BC",37 Babine Dr,,Granisle,,,,,,54.885739,-126.2043768,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,98.57854689
107,1191,1,bc,2023-R31581,55.5963,-126.784,239,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-12 4:47,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2015,N,Kispiox Fire Dept,,"1400 Mary Blackwater Dr, Kispiox, BC","1400 Mary Blackwater Dr, Kispiox, BC",1400 Mary Blackwater Dr,,Kispiox,,,,,,55.3562069,-127.6909936,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,63.27602535
108,1311,1,bc,2023-V11337,49.9815,-121.64,17405.9,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-09 1:46,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1613,N,Boston Bar Fire Deptartment Hall 2,,"48904 North Bend Cres, Boston Bar, BC","48904 North Bend Cres, Boston Bar, BC",48904 North Bend Cres,,Boston Bar,,,,,,49.8839528,-121.4568058,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,17.04898961
109,1931,1,bc,2023-V82991,49.8712,-125.789,18.29,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-08-28 18:10,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1568,N,Gold River Vol Fire Dept,,"499 Muchalat Dr, Gold River, BC","499 Muchalat Dr, Gold River, BC",499 Muchalat Dr,,Gold River,,,,,,49.7806033,-126.0475636,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,21.15909237
110,1863,1,bc,2023-G90628,58.5021,-120.412,173353,OC,PDT,{00000000-0000-0000-0000-000000000000},2023-06-05 15:50,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,137.4986335
111,2379,1,bc,2023-G51411,55.3288,-125.351,451.6,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-09 23:02,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1997,N,Granisle Fire Dept,,"37 Babine Dr, Granisle, BC","37 Babine Dr, Granisle, BC",37 Babine Dr,,Granisle,,,,,,54.885739,-126.2043768,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,73.47957393
113,1191,1,bc,2023-G50856,55.8798,-126.401,5712.7,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-06-24 3:36,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2015,N,Kispiox Fire Dept,,"1400 Mary Blackwater Dr, Kispiox, BC","1400 Mary Blackwater Dr, Kispiox, BC",1400 Mary Blackwater Dr,,Kispiox,,,,,,55.3562069,-127.6909936,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,100.0198288
117,2991,1,bc,2023-C53447,52.1159,-124.049,0.01,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-10-26 0:16,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1874,N,Williams Lake Fire Dept,,"230 Hodgson Rd, Williams Lake, BC","230 Hodgson Rd, Williams Lake, BC",230 Hodgson Rd,,Williams Lake,,,,,,52.1167778,-122.1322222,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,131.2940794
118,1863,1,bc,2023-G91355,59.669,-122.625,350,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-09 3:06,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,96.64183559
119,1979,1,bc,2023-G70645,55.154,-120.67,25095,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-06-06 20:41,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2006,N,Tumbler Ridge Fire Dept,,"325 Iles Way, Tumbler Ridge, BC","325 Iles Way, Tumbler Ridge, BC",325 Iles Way,,Tumbler Ridge,,,,,,55.1267767,-120.9985639,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,21.17168411
